Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close,Grid Stop Loss,Grid Take Profit
2025-05-22 18:30,2025-05-23 17:00,SHORT,200,53.25,55.47,-444.0,103209.65,210.0,210.0
2025-05-23 17:30,2025-05-28 17:30,LONG,400,56.21,53.43,-1112.0,102053.8,210.0,210.0
2025-05-28 18:00,2025-05-29 18:00,SHORT,800,52.97,49.37,2880.0,104851.92,210.0,210.0
2025-05-29 18:30,2025-05-30 16:30,SHORT,100,48.42,50.8,-238.0,104604.0,210.0,210.0
2025-06-03 20:00,2025-06-06 20:00,LONG,100,55.98,58.46,248.0,104650.65,210.0,210.0
2025-06-06 20:30,2025-06-09 17:00,LONG,100,58.03,52.5,-553.0,104086.6,210.0,210.0
2025-06-09 17:30,2025-06-10 20:00,SHORT,200,52.83,50.54,458.0,104523.93,210.0,210.0
2025-06-10 20:30,2025-06-16 17:00,SHORT,100,50.67,54.92,-425.0,104088.37,210.0,210.0
2025-06-16 17:30,2025-06-16 21:00,LONG,200,53.6,55.67,414.0,104480.51,210.0,210.0
2025-06-16 21:30,2025-06-17 17:00,LONG,100,56.62,59.06,244.0,104712.95,210.0,210.0
2025-06-17 17:30,2025-06-18 17:00,LONG,100,59.13,62.79,366.0,105066.75,210.0,210.0
2025-06-18 17:30,2025-06-20 20:00,LONG,100,62.49,59.39,-310.0,104744.57,210.0,210.0
2025-06-20 20:30,2025-06-23 17:00,SHORT,200,59.05,56.91,428.0,105149.37,210.0,210.0
2025-06-23 17:30,2025-06-24 17:00,SHORT,100,55.92,53.33,259.0,105397.45,210.0,210.0
2025-06-24 17:30,2025-06-24 21:30,SHORT,100,53.19,51.11,208.0,105595.02,210.0,210.0
2025-06-24 22:00,2025-06-25 21:30,SHORT,100,51.5,49.16,234.0,105818.95,210.0,210.0
2025-06-25 22:00,2025-06-26 18:00,SHORT,100,49.05,46.06,299.0,106108.44,210.0,210.0
2025-06-26 18:30,2025-06-26 21:30,SHORT,100,46.33,48.55,-222.0,105876.95,210.0,210.0
2025-06-26 22:00,2025-06-27 17:00,LONG,200,48.62,52.47,770.0,106626.74,210.0,210.0
2025-06-27 17:30,2025-06-30 17:00,LONG,100,52.93,47.36,-557.0,106059.71,210.0,210.0
2025-06-30 17:30,2025-07-01 17:00,SHORT,200,46.34,42.75,718.0,106759.89,210.0,210.0
2025-07-01 17:30,2025-07-01 21:30,SHORT,100,42.65,45.13,-248.0,106503.11,210.0,210.0
2025-07-07 17:00,2025-07-07 18:30,SHORT,100,44.32,45.8,-148.0,106317.13,110.00000000000001,110.00000000000001
2025-07-07 19:00,2025-07-07 21:30,LONG,200,45.86,44.8,-212.0,106087.0,110.00000000000001,110.00000000000001
2025-07-07 22:00,2025-07-08 19:00,SHORT,400,44.82,43.73,436.0,106487.58,110.00000000000001,110.00000000000001
2025-07-08 19:30,2025-07-09 17:00,SHORT,100,43.62,40.11,351.0,106830.21,110.00000000000001,110.00000000000001
2025-07-09 17:30,2025-07-09 19:00,SHORT,100,40.35,38.81,154.0,106976.29,110.00000000000001,110.00000000000001
2025-07-09 19:30,2025-07-09 21:30,SHORT,100,39.02,40.07,-105.0,106863.38,110.00000000000001,110.00000000000001
2025-07-09 22:00,2025-07-10 17:00,LONG,200,39.79,41.56,354.0,107201.11,110.00000000000001,110.00000000000001
2025-07-10 17:30,2025-07-10 19:30,SHORT,100,41.67,42.75,-108.0,107084.67,110.00000000000001,110.00000000000001
2025-07-10 20:00,2025-07-11 17:00,LONG,200,42.64,44.17,306.0,107373.31,110.00000000000001,110.00000000000001
2025-07-11 17:30,2025-07-11 20:00,LONG,100,44.25,43.15,-110.0,107254.57,110.00000000000001,110.00000000000001
2025-07-11 20:30,2025-07-14 17:00,SHORT,200,43.41,46.43,-604.0,106632.6,110.00000000000001,110.00000000000001
2025-07-14 17:30,2025-07-14 19:30,LONG,400,46.86,45.55,-524.0,106071.63,110.00000000000001,110.00000000000001
2025-07-14 20:00,2025-07-14 21:00,SHORT,800,45.52,46.75,-984.0,105013.82,110.00000000000001,110.00000000000001
2025-07-14 21:30,2025-07-15 17:00,LONG,1600,46.37,45.28,-1744.0,103123.18,110.00000000000001,110.00000000000001
2025-08-14 20:30,2025-08-15 17:00,SHORT,100,29.71,31.19,-148.0,102969.09,60.0,60.0
2025-08-15 17:30,2025-08-18 17:00,LONG,200,31.42,30.25,-234.0,102722.75,60.0,60.0
2025-08-18 17:30,2025-08-19 17:00,SHORT,400,30.3,28.11,876.0,103575.39,60.0,60.0
2025-08-19 17:30,2025-08-20 17:30,SHORT,100,28.2,27.47,73.0,103642.82,60.0,60.0
2025-08-20 18:00,2025-08-21 18:00,SHORT,100,27.7,28.41,-71.0,103566.21,60.0,60.0
2025-08-21 18:30,2025-08-22 17:00,LONG,200,28.7,27.75,-190.0,103364.92,60.0,60.0
2025-08-22 17:30,2025-08-22 20:30,SHORT,400,27.68,27.09,236.0,103579.01,60.0,60.0
2025-08-22 21:00,2025-08-26 17:00,SHORT,100,27.02,26.09,93.0,103666.7,60.0,60.0
2025-08-26 17:30,2025-08-26 19:00,SHORT,100,26.33,26.98,-65.0,103596.37,60.0,60.0
